A_QP_balance_min,A_beta_delta_min,A_directed_imbalance,A_selected_by_old_rule,A_transport_cosine,A_transverse_complementarity,B_C_lock_worst,B_QP_balance_min,B_directed_imbalance,B_selected_by_old_rule,B_signed_amp_min,B_signed_flip_abs,B_transport_cosine,B_transverse_complementarity,assembly_score_low_is_good,candidate_A_key,candidate_B_key,context,edge_overlap,event_t_A,event_t_B,face_overlap,is_connected_context,is_strong_context,scan_id,variant,vertex_overlap
0.650493396379054,1,0.4920671331870411,False,0.024625095765542254,0.3233712144337851,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.48467200525094023,handle_candidate|0 1 2|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,8,8,1,True,True,2,real_growth,4
0.650493396379054,1,0.4920671331870411,False,0.024625095765542254,0.3233712144337851,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.48467200525094023,handle_candidate|0 1 2|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,9,9,1,True,True,3,real_growth,4
0.8678331973039445,2,0.574475882639345,True,0.07377496539076155,0.3496754174606368,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.4992094799252409,handle_candidate|0 1 2|3 4 7,handle_candidate|1 5 6|3 7 8,shared_edge,1,8,8,0,True,True,2,real_growth,3
0.8678331973039445,2,0.574475882639345,True,0.07377496539076155,0.3496754174606368,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.4992094799252409,handle_candidate|0 1 2|3 4 7,handle_candidate|1 5 6|3 7 8,shared_edge,1,9,9,0,True,True,3,real_growth,3
0.7414430017361809,1,0.0562343298038757,False,0.12252408813223944,0.2337562640381679,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.5258986472889882,handle_candidate|1 4 6|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,4,8,8,1,True,True,2,real_growth,5
0.7414430017361809,1,0.0562343298038757,False,0.12252408813223944,0.2337562640381679,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.5258986472889882,handle_candidate|1 4 6|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,4,9,9,1,True,True,3,real_growth,5
0.5588591918504593,2,0.3262197296068824,False,-0.013618664981739304,0.7789076356870308,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.5304891075152376,handle_candidate|1 2 4|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,8,8,1,True,True,2,real_growth,4
0.5588591918504593,2,0.3262197296068824,False,-0.013618664981739304,0.7789076356870308,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.5304891075152376,handle_candidate|1 2 4|3 7 8,handle_candidate|1 5 6|3 7 8,shared_face,3,9,9,1,True,True,3,real_growth,4
0.684980890166552,1,0.1011515139184872,False,0.07378782756597141,0.2168261700725022,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.5674282583571912,handle_candidate|1 4 6|2 7 8,handle_candidate|1 5 6|3 7 8,shared_edge,2,8,8,0,True,True,2,real_growth,4
0.6611651374079655,1,0.381150303496843,False,0.21883442604515477,0.4194140567356499,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.5793361347364845,handle_candidate|0 1 2|4 5 6,handle_candidate|1 5 6|3 7 8,shared_edge,1,8,8,0,True,True,2,real_growth,3
0.6611651374079655,1,0.381150303496843,False,0.21883442604515477,0.4194140567356499,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.5793361347364845,handle_candidate|0 1 2|4 5 6,handle_candidate|1 5 6|3 7 8,shared_edge,1,9,9,0,True,True,3,real_growth,3
0.6735658490856405,1,0.0696460764089455,False,0.641213275851973,0.2655857245171599,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.6113216000063253,handle_candidate|2 7 8|3 4 5,handle_candidate|1 5 6|3 7 8,shared_edge,1,8,8,0,True,True,2,real_growth,4
0.9497596304950622,1,0.0696460764089455,False,0.20420432898138655,1.1061975148501884,0.1865436523746534,0.4054333410976372,0.265945149341554,False,0.2721293581626484,0.0290557167080211,-0.8784750637010379,0.2837342009868028,0.6531006242735542,handle_candidate|2 8 9|3 4 5,handle_candidate|3 4 5|10 11 12,shared_face,3,12,12,1,True,True,6,real_growth,3
0.3091056114550081,1,0.1011515139184872,False,0.06913814172515825,0.2799604099612163,0.1340667577803703,0.8214184470304525,0.0562343298038757,False,0.4045464036978909,0.0567612263996751,0.12301781437941126,0.2688307612369465,0.6553658977129632,quotient_candidate|1 5 6|2 8 9,handle_candidate|1 5 6|3 7 8,shared_face,3,9,9,1,True,True,3,real_growth,4
0.8220582449225395,2,0.4797844348155051,False,-0.1288250423977085,0.3361209044330948,0.1865436523746534,0.4054333410976372,0.265945149341554,False,0.2721293581626484,0.0290557167080211,-0.8784750637010379,0.2837342009868028,0.6584568269013262,handle_candidate|0 1 2|3 4 5,handle_candidate|3 4 5|10 11 12,shared_face,3,12,12,1,True,True,6,real_growth,3
0.619672390312669,1,0.265945149341554,False,-0.36126454287366466,0.2760913958572359,0.1865436523746534,0.4054333410976372,0.265945149341554,False,0.2721293581626484,0.0290557167080211,-0.8784750637010379,0.2837342009868028,0.6584568269013262,handle_candidate|3 4 7|10 11 12,handle_candidate|3 4 5|10 11 12,shared_face,4,12,12,1,True,True,6,real_growth,5
